Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1302.6,48.83
2605.2,57.59
3907.8,66.17
5210.4,74.63
6513,83.04
7815.6,91.39
9118.2,99.61
10420.8,103.01
11723.4,102.11
13026,101.28
14328.6,100.33
15631.2,99.34
16933.8,108.53
18236.4,120.46
19539,132.08
20841.6,143.59
22144.2,154.74
23446.8,166.06
24749.4,177.14
26052,184.38

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.2,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1302.6,48.83
2605.2,57.59
3907.8,66.17
5210.4,74.63
6513,83.04
7815.6,91.39
9118.2,99.61
10420.8,102.38
11723.4,100.34
13026,98.1
14328.6,95.71
15631.2,93.24
16933.8,100.92
18236.4,111.28
19539,121.25
20841.6,131.08
22144.2,140.41
23446.8,150.1
24749.4,159.62
26052,164.95

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.3,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1302.6,48.83
2605.2,57.59
3907.8,66.17
5210.4,74.63
6513,83.04
7815.6,91.39
9118.2,99.61
10420.8,101.7
11723.4,97.78
13026,93.6
14328.6,89.14
15631.2,84.47
16933.8,89.8
18236.4,97.64
19539,104.83
20841.6,111.84
22144.2,118.2
23446.8,124.99
24749.4,131.32
26052,132.61

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.4,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1302.6,48.83
2605.2,57.59
3907.8,66.17
5210.4,74.63
6513,83.04
7815.6,91.39
9118.2,99.61
10420.8,100.88
11723.4,94.27
13026,87.36
14328.6,79.9
15631.2,71.91
16933.8,73.58
18236.4,77.27
19539,79.91
20841.6,82.38
22144.2,83.38
23446.8,84.42
24749.4,84.23
26052,77.31

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.5,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1302.6,48.83
2605.2,57.59
3907.8,66.17
5210.4,74.63
6513,83.04
7815.6,91.39
9118.2,99.61
10420.8,99.69
11723.4,89.51
13026,78.79
14328.6,67.01
15631.2,53.94
16933.8,49.65
18236.4,46.95
19539,42.27
20841.6,36.66
22144.2,27.43
23446.8,17.5
24749.4,4.09
26052,-18.93


Curves Rotaryoff Bottom Casing Friction Factor,Curves Rotaryoff Bottom Openhole Friction Factor,flow_rate
0,0,0,

Curves Rotaryoff Bottom Measured Depth,Curves Rotaryoff Bottom Hookload,Curves Rotaryoff Bottom Torque
0,40,0
1302.6,48.85,0
2605.2,57.7,0
3907.8,66.52,0
5210.4,75.33,0
6513,84.15,0
7815.6,92.99,0
9118.2,101.84,0
10420.8,106.2,0
11723.4,106.16,0
13026,106.21,0
14328.6,106.2,0
15631.2,106.17,0
16933.8,116.37,0
18236.4,129.38,0
19539,142.26,0
20841.6,155.27,0
22144.2,168.07,0
23446.8,181.12,0
24749.4,194.07,0
26052,203.22,0


Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.1,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1302.6,48.87
2605.2,57.81
3907.8,66.87
5210.4,76.05
6513,85.3
7815.6,94.67
9118.2,104.19
10420.8,109.68
11723.4,110.62
13026,111.68
14328.6,112.69
15631.2,113.7
16933.8,124.99
18236.4,139.21
19539,153.47
20841.6,168.14
22144.2,182.69
23446.8,197.72
24749.4,212.8
26052,224.02

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.2,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1302.6,48.87
2605.2,57.81
3907.8,66.87
5210.4,76.05
6513,85.3
7815.6,94.67
9118.2,104.19
10420.8,110.5
11723.4,112.52
13026,114.82
14328.6,117.3
15631.2,119.94
16933.8,132.95
18236.4,148.94
19539,164.97
20841.6,181.53
22144.2,197.92
23446.8,214.97
24749.4,232.09
26052,244.93

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.3,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1302.6,48.87
2605.2,57.81
3907.8,66.87
5210.4,76.05
6513,85.3
7815.6,94.67
9118.2,104.19
10420.8,111.4
11723.4,114.7
13026,118.91
14328.6,123.7
15631.2,128.74
16933.8,144.28
18236.4,162.96
19539,181.79
20841.6,201.47
22144.2,221.04
23446.8,241.7
24749.4,262.59
26052,278.99

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.4,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1302.6,48.87
2605.2,57.81
3907.8,66.87
5210.4,76.05
6513,85.3
7815.6,94.67
9118.2,104.19
10420.8,112.39
11723.4,117.35
13026,124.52
14328.6,132.53
15631.2,141
16933.8,160.3
18236.4,183.21
19539,206.59
20841.6,231.44
22144.2,256.51
23446.8,283.55
24749.4,311.48
26052,335.47

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.5,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1302.6,48.87
2605.2,57.81
3907.8,66.87
5210.4,76.05
6513,85.3
7815.6,94.67
9118.2,104.19
10420.8,113.49
11723.4,120.82
13026,132.1
14328.6,144.6
15631.2,157.97
16933.8,183.03
18236.4,212.41
19539,243.04
20841.6,276.52
22144.2,311.06
23446.8,349.72
24749.4,391.96
26052,432.1



Pickup Timestamp,Pickup Measured Depth,Pickup Hookload,Pickup Torque,rotary_rpm,mud_flow_in,string_velocity
1550626457,486.1,55.3,0,0.1,0,36
1550626335,504.9,55.9,0,0.1,0,132
1550707553,20772.5,168.55,0,0.1,0,36

Slack Off Timestamp,Slack Off Measured Depth,Slack Off Hookload,Slack Off Torque,rotary_rpm,mud_flow_in,string_velocity
1550651968,585.4,56.2,0,0.1,0,78
1550652311,675.8,57.5,0,0.1,0,123
1550652526,754,57.8,0,0.1,0,132
1550652646,799.85,58.15,0,0.1,0,138
1550652855,840.55,59.7,0,0.1,0,102
1550653113,924.5,59,0,0.1,0,159
1550653253,969.5,59.3,0,0.1,0,141
1550653384,1012.1,59.8,0,0.1,0,150
1550653678,3063.35,60.75,0,0.1,0,120
1550653793,3110.1,60.2,0,0.1,0,147
1550653903,3153.1,61,0,0.1,0,153
1550654142,3239.65,62.35,0,0.1,0,126
1550654256,3284.9,62.35,0,0.1,0,138
1550654364,3326.8,62.8,0,0.1,0,123
1550654485,3369.8,63.5,0,0.1,0,102
1550654615,3416.1,63,0,0.1,0,159
1550654866,3506,63.9,0,0.1,0,153
1550655221,3596.1,64.3,0,0.1,0,147
1550655335,3639.9,64.3,0,0.1,0,150
1550655448,3683.5,64.7,0,0.1,0,147
1550655562,3724.1,66.15,0,0.1,0,132
1550655683,3771.7,65.9,0,0.1,0,150
1550656059,3856.6,68.2,0,0.1,0,90
1550656395,3991.55,66.7,0,0.1,0,162
1550656523,4035.4,67.5,0,0.1,0,159
1550656641,4080.4,68,0,0.1,0,159
1550656751,4125.35,68.3,0,0.1,0,162
1550656869,4165.35,69.75,0,0.1,0,72
1550656987,4213.8,68.8,0,0.1,0,156
1550657212,4302.1,69.8,0,0.1,0,159
1550657323,4348.4,69.9,0,0.1,0,147
1550657430,4392.4,69.9,0,0.1,0,147
1550657553,4438.4,71.5,0,0.1,0,144
1550657764,4481.35,70.1,0,0.1,0,168
1550657881,4530.55,71.3,0,0.1,0,132
1550658004,4571.2,71.7,0,0.1,0,132
1550658126,4609.95,73.05,0,0.1,0,102
1550658246,4662.8,72.1,0,0.1,0,126
1550658362,4703.65,71.6,0,0.1,0,132
1550658480,4747.8,72.1,0,0.1,0,132
1550658610,4793.1,72.4,0,0.1,0,138
1550658731,4838.8,72.7,0,0.1,0,129
1550658846,4886,74.5,0,0.1,0,138
1550658958,4927.4,73.4,0,0.1,0,108
1550659073,4963.9,75.85,0,0.1,0,72
1550659188,5008.3,76.2,0,0.1,0,102
1550659306,5056.75,74.1,0,0.1,0,138
1550659427,5096.85,76.2,0,0.1,0,90
1550659550,5146.75,74.5,0,0.1,0,120
1550659667,5188.4,75.2,0,0.1,0,153
1550659785,5234.55,76.1,0,0.1,0,132
1550659901,5280.85,76.4,0,0.1,0,144
1550660152,5359.2,77.95,0,0.1,0,102
1550660308,5413.3,77.7,0,0.1,0,129
1550660426,5445.7,79.05,0,0.1,0,72
1550660559,5491.4,79.9,0,0.1,0,81
1550660681,5540.7,80.1,0,0.1,0,66
1550660805,5579.6,78.9,0,0.1,0,102
1550660925,5623.8,81,0,0.1,0,72
1550661044,5667.85,80.95,0,0.1,0,78
1550661165,5713.5,81.55,0,0.1,0,96
1550661274,5757,81.3,0,0.1,0,123
1550661383,5806.9,81.25,0,0.1,0,120
1550661501,5849,79.7,0,0.1,0,150
1550661612,5891.9,81.65,0,0.1,0,150
1550661721,5937.8,80.5,0,0.1,0,153
1550661837,5981.4,80.8,0,0.1,0,147
1550661947,6025.6,81,0,0.1,0,150
1550662054,6068.45,81.9,0,0.1,0,156
1550662157,6113.55,81.3,0,0.1,0,168
1550662272,6158.1,81.4,0,0.1,0,150
1550662382,6203,81.5,0,0.1,0,150
1550662487,6246.4,81.9,0,0.1,0,153
1550662605,6290.6,82.9,0,0.1,0,150
1550662718,6334.75,83.1,0,0.1,0,144
1550662842,6379.25,82.8,0,0.1,0,150
1550662958,6421.8,83.3,0,0.1,0,159
1550663067,6465.7,83.9,0,0.1,0,156
1550663297,6511.7,84.25,0,0.1,0,168
1550663408,6554.85,84.25,0,0.1,0,162
1550663523,6599.2,83.9,0,0.1,0,150
1550663632,6643.2,84.5,0,0.1,0,156
1550663745,6688.3,84.5,0,0.1,0,147
1550663849,6731.7,86.5,0,0.1,0,156
1550663960,6776.1,85.4,0,0.1,0,141
1550664084,6815.45,86.3,0,0.1,0,108
1550664592,6863.8,85.8,0,0.1,0,162
1550664731,6907.5,86.9,0,0.1,0,153
1550664836,6950.6,87.3,0,0.1,0,159
1550664946,6995.9,87.7,0,0.1,0,162
1550665058,7037.6,88,0,0.1,0,159
1550665171,7090.1,89.1,0,0.1,0,138
1550665306,7132.1,87.8,0,0.1,0,147
1550665426,7171.8,88.9,0,0.1,0,156
1550665543,7215.1,89.4,0,0.1,0,153
1550665654,7258.6,88.6,0,0.1,0,156
1550665769,7303,90.7,0,0.1,0,159
1550665979,7347.3,89.6,0,0.1,0,159
1550666082,7391.75,89.2,0,0.1,0,156
1550666189,7436.7,91,0,0.1,0,144
1550666293,7479.5,91.1,0,0.1,0,153
1550666401,7523.1,90.85,0,0.1,0,162
1550666511,7567.1,92,0,0.1,0,168
1550666632,7609.8,91.4,0,0.1,0,156
1550666737,7655.1,92,0,0.1,0,159
1550666848,7699.1,92.1,0,0.1,0,159
1550666956,7745.4,92.2,0,0.1,0,147
1550667062,7778.5,96.9,0,0.1,0,105
1550667080,7800.2,91.4,0,0.1,0,117
1550667178,7833.5,92.2,0,0.1,0,162
1550667284,7877.1,91.6,0,0.1,0,156
1550667397,7921.6,92.8,0,0.1,0,153
1550667516,7966.5,92.9,0,0.1,0,153
1550667618,8012,92.7,0,0.1,0,153
1550667821,8054.7,93.3,0,0.1,0,144
1550667930,8098.7,93.3,0,0.1,0,150
1550668040,8142,94,0,0.1,0,162
1550668148,8186.8,94.25,0,0.1,0,168
1550668254,8231.1,94.9,0,0.1,0,162
1550668360,8274.7,96,0,0.1,0,156
1550668474,8319.9,96.2,0,0.1,0,156
1550668598,8365.7,94.9,0,0.1,0,153
1550668711,8407.15,96.1,0,0.1,0,150
1550668823,8449.3,96.4,0,0.1,0,144
1550668936,8492.8,95.9,0,0.1,0,153
