Id,Timestamp,Version,Provider,Collection
5c70431f8993614009ab8e82,1550861050,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth,is_extended
Rotary Drilling,15285.4,true

Id,hole_size,type,id
5c69dc29abb5a02442bc124b,8.75,DrillString,4


end_timestamp,start_timestamp
1550466923,1550445804
1550723003,1550722344

end_timestamp,start_timestamp
1550445803,1550441917
1550722343,1550719044

end_timestamp,start_timestamp
1550719043,1550466924
,1550723004
start_timestamp,end_timestamp
1550441917,1550861050


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,42
1095.4,70.64
2190.8,93.67
3286.2,116.98
4381.6,138.46
5477,159.77
6572.4,180.94
7667.8,201.86
8763.2,212.5
9858.6,209.28
10954,205.79
12049.4,203.17
13144.8,222.8
14240.2,238.64
15285.4,235.6
15335.6,235.45
16431,232.17
17526.4,229.57
18621.8,226.9
19717.2,224.21
20812.6,217.97
21908,192.14

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.2,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,42
1095.4,70.64
2190.8,93.67
3286.2,116.98
4381.6,138.46
5477,159.77
6572.4,180.94
7667.8,201.86
8763.2,211.02
9858.6,204.87
10954,198.01
12049.4,191.85
13144.8,207.92
14240.2,220.25
15285.4,213.64
15335.6,213.32
16431,206.27
17526.4,199.76
18621.8,193.21
19717.2,187
20812.6,176.74
21908,142.52

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.3,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,42
1095.4,70.64
2190.8,93.67
3286.2,116.98
4381.6,138.46
5477,159.77
6572.4,180.94
7667.8,201.86
8763.2,209.42
9858.6,199
10954,187.24
12049.4,176.26
13144.8,187.18
14240.2,194.21
15285.4,181.93
15335.6,181.34
16431,168.07
17526.4,155.08
18621.8,142.35
19717.2,129.24
20812.6,109.76
21908,60.46

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.4,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,42
1095.4,70.64
2190.8,93.67
3286.2,116.98
4381.6,138.46
5477,159.77
6572.4,180.94
7667.8,201.86
8763.2,207.67
9858.6,191
10954,172.74
12049.4,154.91
13144.8,158.15
14240.2,156.97
15285.4,135.64
15335.6,134.61
16431,111.06
17526.4,86.64
18621.8,60.39
19717.2,31.74
20812.6,-5.25
21908,-75.59

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.5,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,42
1095.4,70.64
2190.8,93.67
3286.2,116.98
4381.6,138.46
5477,159.77
6572.4,180.94
7667.8,201.86
8763.2,205.63
9858.6,180.51
10954,153.29
12049.4,125.57
13144.8,117.68
14240.2,103.26
15285.4,66.66
15335.6,64.86
16431,22.66
17526.4,-23.39
18621.8,-72.78
19717.2,-125.12
20812.6,-187.06
21908,-286.71


Curves Rotaryoff Bottom Casing Friction Factor,Curves Rotaryoff Bottom Openhole Friction Factor,flow_rate
0,0,597,

Curves Rotaryoff Bottom Measured Depth,Curves Rotaryoff Bottom Hookload,Curves Rotaryoff Bottom Torque
0,42,0
1095.4,69.96,0
2190.8,92.51,0
3286.2,115.97,0
4381.6,137.88,0
5477,159.8,0
6572.4,181.81,0
7667.8,203.86,0
8763.2,216.37,0
9858.6,214.98,0
10954,213.39,0
12049.4,212.62,0
13144.8,234.14,0
14240.2,252.27,0
15285.4,251.8,0
15335.6,251.79,0
16431,251.52,0
17526.4,251.34,0
18621.8,251.21,0
19717.2,251.12,0
20812.6,247.04,0
21908,223.52,0


Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.1,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,42
1095.4,71.38
2190.8,95.49
3286.2,121.25
4381.6,145.6
5477,170.22
6572.4,195.22
7667.8,220.61
8763.2,237.09
9858.6,238.53
10954,240.08
12049.4,242.42
13144.8,267.77
14240.2,289.97
15285.4,293.28
15335.6,293.47
16431,297.72
17526.4,301.49
18621.8,305.49
19717.2,309.72
20812.6,308.92
21908,288.87

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.2,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,42
1095.4,71.38
2190.8,95.49
3286.2,121.25
4381.6,145.6
5477,170.22
6572.4,195.22
7667.8,220.61
8763.2,238.77
9858.6,242.74
10954,248.17
12049.4,255.11
13144.8,284.73
14240.2,311.43
15285.4,318.95
15335.6,319.35
16431,328.17
17526.4,336.59
18621.8,345.36
19717.2,354.42
20812.6,358.11
21908,345.84

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.3,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,42
1095.4,71.38
2190.8,95.49
3286.2,121.25
4381.6,145.6
5477,170.22
6572.4,195.22
7667.8,220.61
8763.2,240.51
9858.6,247.72
10954,259
12049.4,272.51
13144.8,308.01
14240.2,341.03
15285.4,354.66
15335.6,355.37
16431,370.99
17526.4,386.51
18621.8,402.62
19717.2,419.27
20812.6,430.24
21908,429.6

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.4,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,42
1095.4,71.38
2190.8,95.49
3286.2,121.25
4381.6,145.6
5477,170.22
6572.4,195.22
7667.8,220.61
8763.2,242.34
9858.6,254.65
10954,273.44
12049.4,295.87
13144.8,339.47
14240.2,381.53
15285.4,404.12
15335.6,405.28
16431,431.08
17526.4,457.46
18621.8,485.12
19717.2,513.96
20812.6,536.94
21908,554.23

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.5,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,42
1095.4,71.38
2190.8,95.49
3286.2,121.25
4381.6,145.6
5477,170.22
6572.4,195.22
7667.8,220.61
8763.2,244.31
9858.6,263.67
10954,292.38
12049.4,326.89
13144.8,381.7
14240.2,436.66
15285.4,472.29
15335.6,474.12
16431,515.22
17526.4,558.6
18621.8,604.61
19717.2,653.56
20812.6,697.72
21908,741.78



Pickup Timestamp,Pickup Measured Depth,Pickup Hookload,Pickup Torque,rotary_rpm,mud_flow_in,string_velocity
1550455210,5843,162.5,1.06,0,0,102
1550578672,8899.05,229.3,1.79,0,0,36
1550613064,9933.2,256.4,1.06,0,0,36
1550652715,10977.8,255.4,1.06,0,0,36
1550673955,11446.3,256.1,1.45,0,0,36
1550692829,12011.65,266.45,1.06,0,0,30
1550721449,12390.2,271.2,1.06,0,0,36
1550718489,12445.4,278.8,1.06,0,0,54
1550718023,12524.8,281.4,1.06,0,0,42
1550714644,12530.05,285.95,1.06,0,0,42
1550717856,12568.45,285.55,1.06,0,0,36
1550730273,12761.65,286.7,1.06,0,0,36
1550740566,12851,278.05,1.06,0,0,24
1550750919,13025.1,295.4,1.06,0,0,42
1550773177,13488.9,313.1,1.06,0,0,30
1550794071,14044.2,316.95,1.06,0,0,24
1550847699,14990,328.1,1.06,0,0,30

Wash Up Timestamp,Wash Up Measured Depth,Wash Up Hookload,Wash Up Torque,rotary_rpm,mud_flow_in,string_velocity
1550475971,7876.55,216.05,2.02,0,545.9,12
1550477807,7884.85,224.55,2.67,0,500.4,18
1550492518,7964.6,220.7,2.33,0,401.5,30
1550498515,8014.6,220.3,2.83,0,401.5,12
1550502557,8060.6,217.8,1.62,0,401.5,33
1550509780,8153.8,222.3,2.69,0,523.5,30
1550519142,8248.9,221,2.04,0,400.9,18
1550525815,8293.5,221.3,1.7,0,401.5,27
1550531098,8342.4,221.6,1.6,0,401.5,30
1550549115,8531.5,218.8,4.32,0,401.5,18
1550579918,8921.3,231.3,1.21,0,598.6,30
1550582364,8957.4,232.4,2.32,0,598.6,42
1550586926,9052.2,231.3,2.53,0,598.6,36
1550597718,9398.4,235.05,1.06,0,598.6,24
1550599586,9420.1,229.9,1.97,0,598.6,24
1550620545,10146.5,243.1,1.36,0,598.6,36
1550624487,10167.1,239.2,6.92,0,598,18
1550656563,11025,215.1,3.37,0,598,24
1550668311,11374,244.3,1.27,0,598,24
