Id,Timestamp,Version,Provider,Collection
5c707152081a2a6caf043300,1550872882,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth,is_extended
Washing Down,19879.1,true

Id,hole_size,type,id
5c6f294b87a6c94f18943260,8.5,DrillString,5


start_timestamp
1550825331

end_timestamp,start_timestamp
1550825330,1550823996
start_timestamp,end_timestamp
1550823996,1550872882


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.1,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1095.8,63.78
2191.6,83
3287.4,101.47
4383.2,119.9
5479,138.25
6574.8,156.49
7670.6,174.63
8766.4,183.87
9862.2,181.54
10958,179.66
12053.8,179.33
13149.6,202.34
14245.4,216.36
15341.2,213.35
16437,210.54
17532.8,208.45
18628.6,206.46
19724.4,204.5
19879.1,204.3
20820.2,194.9
21916,167.39

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.2,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1095.8,63.78
2191.6,83
3287.4,101.47
4383.2,119.9
5479,138.25
6574.8,156.49
7670.6,174.63
8766.4,182.59
9862.2,177.89
10958,173.22
12053.8,169.92
13149.6,189.84
14245.4,200.94
15341.2,194.89
16437,189.12
17532.8,184.02
18628.6,178.99
19724.4,174.08
19879.1,173.5
20820.2,160.77
21916,126.09

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.3,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1095.8,63.78
2191.6,83
3287.4,101.47
4383.2,119.9
5479,138.25
6574.8,156.49
7670.6,174.63
8766.4,181.29
9862.2,173.03
10958,164.26
12053.8,157.1
13149.6,172.94
14245.4,180.01
15341.2,169.66
16437,159.59
17532.8,150.09
18628.6,140.59
19724.4,131.12
19879.1,129.89
20820.2,111.56
21916,64.59

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.4,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1095.8,63.78
2191.6,83
3287.4,101.47
4383.2,119.9
5479,138.25
6574.8,156.49
7670.6,174.63
8766.4,179.87
9862.2,166.33
10958,152.4
12053.8,140.06
13149.6,150.32
14245.4,151.82
15341.2,135.02
16437,118.76
17532.8,102.71
18628.6,85.36
19724.4,66.54
19879.1,63.96
20820.2,33.71
21916,-30.23

Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
0.15,0.5,

Curves Slack Off Measured Depth,Curves Slack Off Hookload
0,40
1095.8,63.78
2191.6,83
3287.4,101.47
4383.2,119.9
5479,138.25
6574.8,156.49
7670.6,174.63
8766.4,178.27
9862.2,157.59
10958,136.86
12053.8,117.61
13149.6,120.06
14245.4,112.54
15341.2,86.13
16437,59.97
17532.8,31.23
18628.6,-0.93
19724.4,-34.69
19879.1,-39.26
20820.2,-84.26
21916,-167.03


Curves Rotaryoff Bottom Casing Friction Factor,Curves Rotaryoff Bottom Openhole Friction Factor,flow_rate
0,0,0,

Curves Rotaryoff Bottom Measured Depth,Curves Rotaryoff Bottom Hookload,Curves Rotaryoff Bottom Torque
0,40,0
1095.8,63.82,0
2191.6,83.2,0
3287.4,102.44,0
4383.2,121.82,0
5479,141.2,0
6574.8,160.59,0
7670.6,179.97,0
8766.4,191.29,0
9862.2,190.83,0
10958,190.9,0
12053.8,192.55,0
13149.6,217.64,0
14245.4,233.87,0
15341.2,233.73,0
16437,234.06,0
17532.8,234.46,0
18628.6,234.76,0
19724.4,235.11,0
19879.1,235.22,0
20820.2,227.8,0
21916,203.49,0


Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.1,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1095.8,63.87
2191.6,83.4
3287.4,103.45
4383.2,123.81
5479,144.3
6574.8,164.9
7670.6,185.62
8766.4,199.33
9862.2,200.91
10958,203.12
12053.8,206.98
13149.6,234.29
14245.4,252.96
15341.2,255.85
16437,259.73
17532.8,263.03
18628.6,266
19724.4,269.12
19879.1,269.64
20820.2,264.48
21916,243.39

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.2,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1095.8,63.87
2191.6,83.4
3287.4,103.45
4383.2,123.81
5479,144.3
6574.8,164.9
7670.6,185.62
8766.4,201.01
9862.2,204.79
10958,209.51
12053.8,216.26
13149.6,246.68
14245.4,268.78
15341.2,275.04
16437,282.47
17532.8,289.36
18628.6,296.05
19724.4,302.97
19879.1,304.06
20820.2,300.99
21916,286.68

Curves Pickup Casing Friction Factor,Curves Pickup Openhole Friction Factor
0.15,0.3,

Curves Pickup Measured Depth,Curves Pickup Hookload
0,40
1095.8,63.87
2191.6,83.4
3287.4,103.45
4383.2,123.81
5479,144.3
6574.8,164.9
7670.6,185.62
8766.4,202.81
9862.2,209.15
10958,217.26
12053.8,228.39
13149.6,263.22
14245.4,289.97
15341.2,301.04
16437,313.74
17532.8,326.02
18628.6,338.25
19724.4,350.96
19879.1,352.92
20820.2,353.41
21916,348.23

